"Address A","Port A","Address B","Port B","Packets","Bytes","Packets A → B","Bytes A → B","Packets B → A","Bytes B → A","Rel Start","Duration","Bits/s A → B","Bits/s B → A"
"::1",40978,"::1",4433,19,24593,10,10919,9,13674,0,0.150567442,580151.9826577116,726531.5698197224
"::1",40980,"::1",4433,18,24508,10,10919,8,13589,0.156911248,0.020924354000000006,4174656.9571514595,5195477.0025397185
"::1",40982,"::1",4433,19,24610,11,11005,8,13605,0.182231537,0.02098665999999999,4195045.805287742,5186151.583910925
"::1",40984,"::1",4433,20,24678,11,11005,9,13673,0.209068213,0.021808563000000003,4036946.404951119,5015644.542925638
"::1",40986,"::1",4433,18,24491,10,10919,8,13572,0.23638249,0.02081445599999998,4196698.67903346,5216374.619639356
"::1",40988,"::1",4433,19,24575,10,10919,9,13656,0.262096493,0.02342370399999999,3729213.7912944956,4663993.363304115
"::1",40990,"::1",4433,20,24693,11,11005,9,13688,0.291411664,0.023553859999999982,3737816.2220544773,4649089.363696654
"::1",40992,"::1",4433,20,24679,11,11005,9,13674,0.319576907,0.019770877999999992,4453014.175698218,5532986.446024301
"::1",40994,"::1",4433,19,24593,10,10919,9,13674,0.34467002,0.022326476999999956,3912484.7148970333,4899653.447339687
"::1",40996,"::1",4433,19,24607,10,10919,9,13688,0.373713417,0.021959375000000003,3977890.99188843,4986662.871780275
"::1",40998,"::1",4433,19,24605,10,10919,9,13686,0.402109074,0.01993396399999997,4382068.714481481,5492535.252898027
"::1",41000,"::1",4433,18,24509,10,10919,8,13590,0.427215326,0.021185801000000004,4123138.8891078504,5131738.941567514
"::1",41002,"::1",4433,19,24575,11,11005,8,13570,0.45494914,0.023698364000000027,3715024.3788980497,4580906.935179149
"::1",41004,"::1",4433,19,24573,10,10919,9,13654,0.485085414,0.16835686099999997,518850.25345061533,648812.2868957507
"::1",41006,"::1",4433,19,24579,10,10919,9,13660,0.66141839,0.026917907999999935,3245125.8842254835,4059750.8543383186
"::1",41008,"::1",4433,19,24590,10,10919,9,13671,0.694102417,0.026074240000000026,3350126.4082864895,4194484.671461177
"::1",41010,"::1",4433,19,24607,10,10919,9,13688,0.726062111,0.025334776000000003,3447908.913818697,4322280.173308025
"::1",41012,"::1",4433,19,24571,10,10919,9,13652,0.756553535,0.02124969099999996,4110742.127967892,5139651.207163446
"::1",41014,"::1",4433,20,24693,11,11005,9,13688,0.783243606,0.020905956999999975,4211239.887272326,5237932.901134358
"::1",41016,"::1",4433,19,24591,10,10919,9,13672,0.808954005,0.021053130999999947,4149121.5724635078,5195236.755996069
"::1",41018,"::1",4433,19,24577,11,11005,8,13572,0.834986394,0.020808256000000025,4231012.921025188,5217928.883612345
"::1",41020,"::1",4433,19,24591,10,10919,9,13672,0.862224447,0.022780742999999992,3834466.6809155447,4801248.141906523
"::1",41022,"::1",4433,19,24573,10,10919,9,13654,0.888999503,0.020651929000000013,4229725.9495711,5289191.145292042
"::1",41024,"::1",4433,19,24605,10,10919,9,13686,0.913862957,0.020416453000000057,4278510.0820401935,5362733.673669942
"::1",41026,"::1",4433,19,24612,10,10919,9,13693,0.939644991,0.021639590000000042,4036675.37139104,5062203.119375172
"::1",41028,"::1",4433,19,24590,10,10919,9,13671,0.965096225,0.022733106000000003,3842501.768126185,4810957.200481095
"::1",41030,"::1",4433,19,24593,10,10919,9,13674,0.993631044,0.022317542999999995,3914050.9329364803,4901614.841741316
"::1",41032,"::1",4433,19,24590,10,10919,9,13671,1.020276017,0.018994838000000014,4598723.084661208,5757774.822822913
"::1",41034,"::1",4433,20,24681,10,10919,10,13762,1.044852361,0.02209645199999999,3953213.8462772234,4982519.365552445
"::1",41036,"::1",4433,20,24698,11,11005,9,13693,1.072607527,0.01862353800000016,4727350.946957514,5882018.765714605
"::1",41038,"::1",4433,19,24575,10,10919,9,13656,1.096638099,0.01767893499999995,4941021.616969588,6179557.761822208
"::1",41040,"::1",4433,19,24594,11,11005,8,13589,1.118761596,0.023586212000000106,3732689.250821607,4609133.505626063
"::1",41042,"::1",4433,19,24575,10,10919,9,13656,1.146591573,0.01854764199999992,4709601.360647374,5890128.782947206
"::1",41044,"::1",4433,19,24579,10,10919,9,13660,1.169087959,0.018324727999999846,4766892.037906415,5963526.443612201
"::1",41046,"::1",4433,18,24524,10,10919,8,13605,1.191433557,0.021833476999999935,4000828.6357688364,4985005.36584257
"::1",41048,"::1",4433,19,24590,11,11005,8,13585,1.219505309,0.0223140879999999,3945489.504209197,4870465.689657605
"::1",41050,"::1",4433,19,24574,10,10919,9,13655,1.24557963,0.02071808900000005,4216218.976566795,5272687.070704239
"::1",41052,"::1",4433,19,24605,10,10919,9,13686,1.271210141,0.022827128999999946,3826674.830636836,4796398.18042822
"::1",41054,"::1",4433,20,24691,11,11005,9,13686,1.298550143,0.021874198000000122,4024833.27617312,5005349.224689261
"::1",41056,"::1",4433,19,24579,10,10919,9,13660,1.3252252310000001,0.02352089299999993,3713804.5736613935,4646082.102409986
"::1",41058,"::1",4433,20,24680,11,11005,9,13675,1.354800469,0.026722356000000058,3294619.680989199,4093950.3986848975
"::1",41060,"::1",4433,19,24591,10,10919,9,13672,1.385902806,0.02217632699999994,3938975.1062022233,4932106.204963531
"::1",41062,"::1",4433,19,24609,11,11005,8,13604,1.413392268,0.022104118999999978,3982968.06129211,4923607.224517752
"::1",41064,"::1",4433,18,24505,10,10919,8,13586,1.439891498,0.020590146000000198,4242417.707965702,5278641.540472756
"::1",41066,"::1",4433,19,24578,11,11005,8,13573,1.464802466,0.020148201999999893,4369620.673844766,5389265.007368924
"::1",41068,"::1",4433,19,24591,10,10919,9,13672,1.489827601,0.020365576999999968,4289198.3860805975,5370631.040799883
"::1",41070,"::1",4433,20,24661,11,11005,9,13656,1.51516245,0.021436583999999925,4106997.6447740137,5096334.378649154
"::1",41072,"::1",4433,19,24587,10,10919,9,13668,1.542935193,0.023254242000000147,3756389.909419514,4702109.8344121175
"::1",41074,"::1",4433,19,24575,10,10919,9,13656,1.5704463290000001,0.019973477999999822,4373399.565163402,5469653.307250794
"::1",41076,"::1",4433,20,24679,11,11005,9,13674,1.594205694,0.020628941999999872,4267790.369472198,5302841.027911208
"::1",41078,"::1",4433,19,24608,10,10919,9,13689,1.618729202,0.019327209000000067,4519638.6089683045,5666208.711252598
"::1",41080,"::1",4433,19,24607,10,10919,9,13688,1.641897718,0.020138348999999778,4337594.904130471,5437585.772299468
"::1",41082,"::1",4433,20,24679,11,11005,9,13674,1.6666492160000002,0.021793563999999765,4039724.7554370156,5019463.544374898
"::1",41084,"::1",4433,20,24674,11,11005,9,13669,1.694361474,0.02115139800000021,4162372.624258648,5169965.597545794
"::1",41086,"::1",4433,20,24694,11,11005,9,13689,1.7197719500000002,0.019651884999999814,4479977.366038974,5572595.19888301
"::1",41088,"::1",4433,20,24696,11,11005,9,13691,1.744603285,0.020254125999999983,4346768.653458563,5407688.290277255
"::1",41090,"::1",4433,20,24691,11,11005,9,13686,1.768613929,0.021858307999999882,4027759.147688855,5008987.886894109
"::1",41092,"::1",4433,19,24595,10,10919,9,13676,1.794288361,0.018865624000000025,4630220.553531645,5799331.100842455
"::1",41094,"::1",4433,19,24575,10,10919,9,13656,1.8184644859999999,0.023125966000000275,3777225.997824219,4724040.500621626
"::1",41096,"::1",4433,19,24593,10,10919,9,13674,1.8474832669999999,0.02038469799999998,4285175.085743242,5366378.250980226
"::1",41098,"::1",4433,19,24577,10,10919,9,13658,1.872512193,0.023869109000000055,3659625.5017311205,4577632.118567968
"::1",41100,"::1",4433,19,24607,10,10919,9,13688,1.902129304,0.021438639000000093,4074512.3792606248,5107786.926212971
"::1",41102,"::1",4433,19,24591,10,10919,9,13672,1.927878277,0.021427050000000003,4076716.1135107256,5104575.758212166
"::1",41104,"::1",4433,19,24609,10,10919,9,13690,1.9552679469999998,0.02462062900000017,3547919.1047474616,4448302.275299272
"::1",41106,"::1",4433,19,24573,10,10919,9,13654,1.985092745,0.01923513499999996,4541273.040194425,5678774.8045438845
"::1",41108,"::1",4433,20,24679,11,11005,9,13674,2.008615889,0.019923952000000078,4418802.052926029,5490476.989705635
"::1",41110,"::1",4433,18,24508,10,10919,8,13589,2.034410906,0.021214191999999965,4117620.8832276124,5124494.017966849
"::1",41112,"::1",4433,20,24659,11,11005,9,13654,2.061410406,0.0224921720000002,3914250.700199128,4856445.16678954
"::1",41114,"::1",4433,20,24664,11,11005,9,13659,2.087856313,0.020753199000000055,4242237.546124806,5265308.736257948
"::1",41116,"::1",4433,20,24672,11,11005,9,13667,2.113349828,0.0215073229999998,4093489.4593809196,5083663.8292920515
"::1",41118,"::1",4433,20,24680,11,11005,9,13675,2.140961654,0.022087768000000008,3985916.548924272,4952967.633488362
"::1",41120,"::1",4433,20,24665,11,11005,9,13660,2.168999619,0.022596840999999923,3896119.816039786,4836074.210550066
"::1",41122,"::1",4433,20,24675,11,11005,9,13670,2.1960083790000002,0.023148389999999797,3803288.263244259,4724302.640486054
"::1",41124,"::1",4433,20,24679,11,11005,9,13674,2.224888813,0.019679129999999656,4473775.009362789,5558782.324218698
"::1",41126,"::1",4433,20,24696,11,11005,9,13691,2.249187402,0.01982572299999985,4440695.554961636,5524540.0129922535
"::1",41128,"::1",4433,20,24698,11,11005,9,13693,2.275214294,0.022744813000000086,3870772.6460533952,4816218.977047628
"::1",41130,"::1",4433,19,24608,10,10919,9,13689,2.303436713,0.02284359700000005,3823916.1722210306,4793991.068919652
"::1",41132,"::1",4433,20,24695,11,11005,9,13690,2.330706545,0.022352168999999922,3938767.6426390796,4899748.207880872
"::1",41134,"::1",4433,19,24608,11,11005,8,13603,2.359023637,0.02054839899999994,4284518.711165783,5295984.373283793
"::1",41136,"::1",4433,20,24676,11,11005,9,13671,2.384098874,0.020429689999999834,4309414.386610894,5353385.195761702
"::1",41138,"::1",4433,20,24676,11,11005,9,13671,2.409714559,0.025980097999999785,3388747.80226005,4209683.889568118
"::1",41140,"::1",4433,20,24678,11,11005,9,13673,2.440828735,0.02098085199999966,4196207.093973182,5213515.637973223
"::1",41142,"::1",4433,20,24679,11,11005,9,13674,2.466665441,0.020142408999999972,4370877.386116036,5430929.339186795
"::1",41144,"::1",4433,20,24679,11,11005,9,13674,2.490972238,0.020647379000000132,4263979.461993672,5298105.875811128
"::1",41146,"::1",4433,20,24676,11,11005,9,13671,2.516962019,0.019268149999999817,4569198.392165353,5676102.791394142
"::1",41148,"::1",4433,19,24577,10,10919,9,13658,2.542753722,0.02134917000000014,4091587.635491189,5117950.721269225
"::1",41150,"::1",4433,19,24592,10,10919,9,13673,2.568908988,0.025082922999999813,3482528.7308022534,4360895.259296566
"::1",41152,"::1",4433,19,24591,10,10919,9,13672,2.600277048,0.020631150999999903,4233985.781985717,5301497.720607081
"::1",41154,"::1",4433,18,24487,10,10919,8,13568,2.625581203,0.020346914000000105,4293132.609692043,5334666.475712211
"::1",41156,"::1",4433,19,24592,11,11005,8,13587,2.65068878,0.02123243600000002,4146486.0649997913,5119337.22536594
"::1",41158,"::1",4433,20,24680,11,11005,9,13675,2.678036318,0.020736316999999893,4245691.267161881,5275768.112534187
"::1",41160,"::1",4433,18,24494,10,10919,8,13575,2.704654649,0.01914456600000003,4562756.867927947,5672627.940481901
"::1",41162,"::1",4433,18,24488,10,10919,8,13569,2.729403714,0.02474782799999975,3529683.493840384,4386324.327128873
"::1",41164,"::1",4433,18,24507,10,10919,8,13588,2.7598796,0.02342853999999983,3728444.0259615253,4639811.102185658
"::1",41166,"::1",4433,19,24593,10,10919,9,13674,2.790376075,0.02341897799999959,3729966.354637744,4671083.426441663
"::1",41168,"::1",4433,19,24592,10,10919,9,13673,2.818483556,0.019763598000000382,4419842.986079676,5534619.759013409
"::1",41170,"::1",4433,20,24677,11,11005,9,13672,2.843421528,0.022683082999999993,3881306.610745992,4821919.489515603
"::1",41172,"::1",4433,18,24504,10,10919,8,13585,2.872137955,0.02196182000000002,3977448.13499063,4948588.049624298
"::1",41174,"::1",4433,19,24597,10,10919,9,13678,2.900894316,0.022312734000000223,3914894.5171846324,4904105.431454474
"::1",41176,"::1",4433,19,24593,10,10919,9,13674,2.92836289,0.02057733400000039,4245059.151005584,5316140.56514794
"::1",41178,"::1",4433,20,24682,11,11005,9,13677,2.953298426,0.021675483000000106,4061731.865444455,5047915.195246143
"::1",41180,"::1",4433,20,24663,11,11005,9,13658,2.981396684,0.02351331000000023,3744262.2922931365,4646899.989835499
"::1",41182,"::1",4433,20,24658,11,11005,9,13653,3.011219909,0.02276438400000025,3867444.864750087,4798021.330162011
