"Address A","Port A","Address B","Port B","Packets","Bytes","Packets A → B","Bytes A → B","Packets B → A","Bytes B → A","Rel Start","Duration","Bits/s A → B","Bits/s B → A"
"192.168.1.104",50062,"13.65.102.222",8883,24,8255,14,2050,10,6205,0,0.211699614,77468.25650801611,234483.18616206828
"192.168.1.104",50064,"13.65.102.222",8883,24,8227,14,2026,10,6201,0.167329741,0.20126101,80532.24019893372,246485.89411332083
"192.168.1.104",50066,"13.65.102.222",8883,24,8230,14,2026,10,6204,45.113760523,0.21224612500000006,76364.17390423498,233841.72502560404
"192.168.1.104",50068,"13.65.102.222",8883,24,8230,14,2026,10,6204,45.28128412,0.19985148699999655,81100.2221864893,248344.4118682032
"192.168.1.104",50070,"13.65.102.222",8883,24,8229,14,2026,10,6203,90.218900513,0.213456800000003,75931.05490197442,232477.95338447546
"192.168.1.104",50072,"13.65.102.222",8883,24,8225,14,2026,10,6199,90.386666611,0.20177533700000083,80326.96285374032,245778.303420699
"192.168.1.104",50074,"13.65.102.222",8883,24,8227,14,2026,10,6201,135.329692417,0.2122666510000215,76356.78955522014,233706.0473997631
"192.168.1.104",50076,"13.65.102.222",8883,24,8232,14,2026,10,6206,135.496974196,0.2002399799999921,80942.87664232007,247942.49380169713
"192.168.1.104",50078,"13.65.102.222",8883,24,8226,14,2026,10,6200,180.438633406,0.21171431199999802,76555.99589318341,234277.9736119137
"192.168.1.104",50080,"13.65.102.222",8883,24,8232,14,2026,10,6206,180.605885031,0.19979878599997392,81121.61402222993,248489.99833265494
"192.168.1.104",50082,"13.65.102.222",8883,24,8231,14,2026,10,6205,225.550236965,0.2112565549999772,76721.87970688885,234974.95734513592
"192.168.1.104",50084,"13.65.102.222",8883,24,8229,14,2026,10,6203,225.716788542,0.19969904900000301,81162.12911960215,248493.92247230606
"192.168.1.104",50086,"13.65.102.222",8883,24,8229,14,2026,10,6203,270.657248657,0.2112715049999565,76716.45071115169,234882.59810526847
"192.168.1.104",50088,"13.65.102.222",8883,24,8233,14,2026,10,6207,270.824099713,0.19961816599999338,81195.01508695625,248754.91542188425
"192.168.1.104",50090,"13.65.102.222",8883,24,8229,14,2026,10,6203,315.769102004,0.21282780199999252,76155.46393699339,233165.02606178183
"192.168.1.104",50092,"13.65.102.222",8883,24,8229,14,2026,10,6203,315.936083998,0.20210779299998194,80194.82949873907,245532.3432283704
"192.168.1.104",50094,"13.65.102.222",8883,25,8292,15,2092,10,6200,360.878737055,0.21107161300000143,79290.62445739629,234991.33443396608
"192.168.1.104",50096,"13.65.102.222",8883,25,8297,15,2092,10,6205,361.045442593,0.21207113999997773,78916.91439015114,234072.39664956398
