"Address A","Port A","Address B","Port B","Packets","Bytes","Packets A → B","Bytes A → B","Packets B → A","Bytes B → A","Rel Start","Duration","Bits/s A → B","Bits/s B → A"
"::1",46078,"::1",4433,18,6703,10,2103,8,4600,0,0.010462619,1608010.3843980175,3517283.769962378
"::1",46080,"::1",4433,18,6707,10,2103,8,4604,0.017056021,0.011573592,1453654.1464395842,3182417.3515015906
"::1",46082,"::1",4433,18,6709,10,2103,8,4606,0.03427659,0.014501675999999998,1160141.7656828081,2540947.6808059984
"::1",46084,"::1",4433,18,6706,10,2103,8,4603,0.056779351,0.014363279,1171320.2813925706,2563759.9882310997
"::1",46086,"::1",4433,18,6724,10,2103,8,4621,0.077435543,0.01109433,1516450.2948803578,3332152.5499962596
"::1",46088,"::1",4433,18,6688,10,2103,8,4585,0.095677518,0.017706591999999993,950154.6090857013,2071544.880008531
"::1",46090,"::1",4433,18,6721,10,2103,8,4618,0.120669531,0.014775753000000003,1138622.1737734785,2500312.5052239294
"::1",46092,"::1",4433,18,6707,10,2103,8,4604,0.141438336,0.010548740000000001,1594882.4219764634,3491601.8405989716
"::1",46094,"::1",4433,18,6720,10,2103,8,4617,0.158962371,0.015030850000000012,1119297.977160306,2457346.058273482
"::1",46096,"::1",4433,18,6702,10,2103,8,4599,0.180273053,0.01413410100000001,1190312.7054207402,2603066.158930092
"::1",46098,"::1",4433,18,6720,10,2103,8,4617,0.201503324,0.010802215999999976,1557458.2104264568,3419298.4106224207
"::1",46100,"::1",4433,18,6724,10,2103,8,4621,0.218378965,0.014719387,1142982.380991817,2511517.6331731747
"::1",46102,"::1",4433,18,6705,10,2103,8,4602,0.240511371,0.013868762999999978,1213085.839018233,2654598.683386547
"::1",46104,"::1",4433,18,6689,10,2103,8,4586,0.262010505,0.014320610000000011,1174810.2909024118,2561902.041882292
"::1",46106,"::1",4433,18,6705,10,2103,8,4602,0.283484867,0.013207988000000004,1273774.6278994193,2787404.107272053
"::1",46108,"::1",4433,18,6708,10,2103,8,4605,0.303035654,0.013205658000000009,1273999.372087327,2789713.3183367294
"::1",46110,"::1",4433,18,6721,10,2103,8,4618,0.322987137,0.010070542000000016,1670615.1466326215,3668521.5155251767
"::1",46112,"::1",4433,18,6705,10,2103,8,4602,0.339287546,0.015285411999999998,1100657.2802878981,2408570.995665672
"::1",46114,"::1",4433,18,6710,10,2103,8,4607,0.361134071,0.01544519900000002,1089270.5234811138,2386243.1296611945
"::1",46116,"::1",4433,18,6702,10,2103,8,4599,0.383786921,0.013845339999999984,1215138.0897832788,2657356.1934918207
"::1",46118,"::1",4433,18,6722,10,2103,8,4619,0.404125681,0.010652466999999999,1579352.4636124198,3468867.8218857665
"::1",46120,"::1",4433,18,6708,10,2103,8,4605,0.422954635,0.013796648999999994,1219426.5433584638,2670213.6149147535
"::1",46122,"::1",4433,18,6720,10,2103,8,4617,0.443207768,0.012915390999999998,1302631.8754112828,2859843.732179692
