"Address A","Port A","Address B","Port B","Packets","Bytes","Packets A → B","Bytes A → B","Packets B → A","Bytes B → A","Rel Start","Duration","Bits/s A → B","Bits/s B → A"
"192.168.1.104",40814,"13.65.102.222",8883,31,9225,17,2233,14,6992,0,14.970632731,1193.2695378338046,3736.381822003566
"192.168.1.104",40816,"13.65.102.222",8883,31,9231,17,2233,14,6998,45.081406277,14.971528026000001,1193.198180504812,3739.364472535904
"192.168.1.104",40818,"13.65.102.222",8883,30,9165,16,2167,14,6998,90.160653309,14.975341794000002,1157.636349037844,3738.4121691586674
"192.168.1.104",40820,"13.65.102.222",8883,28,9029,15,2101,13,6928,135.233591436,14.970806780999993,1122.7183842444388,3702.138489312457
"192.168.1.104",40822,"13.65.102.222",8883,30,9160,16,2167,14,6993,180.315481237,14.96638802999999,1158.3289144481716,3737.9760492552214
"192.168.1.104",40824,"13.65.102.222",8883,30,9163,16,2167,14,6996,225.394325146,14.970305131000003,1158.0258283514338,3738.601151428995
"192.168.1.104",40826,"13.65.102.222",8883,30,9199,16,2203,14,6996,270.476576516,14.97300370399995,1177.0517358044767,3737.9273462043207
"192.168.1.104",40828,"13.65.102.222",8883,30,9161,16,2167,14,6994,315.559123626,14.962931835000006,1158.5964696737517,3739.374115781366
"192.168.1.104",40830,"13.65.102.222",8883,30,9162,16,2167,14,6995,360.634498066,14.972197745000017,1157.8794439707008,3737.594236536711
"192.168.1.104",40832,"13.65.102.222",8883,30,9163,16,2167,14,6996,405.71739107,14.965819305999958,1158.3729327167416,3739.7217523240997
"192.168.1.104",40834,"13.65.102.222",8883,31,9228,17,2233,14,6995,450.790096874,14.965714445999993,1193.661690155705,3739.213400196666
"192.168.1.104",40836,"13.65.102.222",8883,30,9165,16,2167,14,6998,495.864537201,14.967739988999995,1158.224288552612,3740.310831237277
"192.168.1.104",40838,"13.65.102.222",8883,30,9163,16,2167,14,6996,540.943870505,14.973238965000064,1157.7989265063416,3737.8686155230116
