"Address A","Port A","Address B","Port B","Packets","Bytes","Packets A → B","Bytes A → B","Packets B → A","Bytes B → A","Rel Start","Duration","Bits/s A → B","Bits/s B → A"
"::1",55938,"::1",4433,36,13144,20,3950,16,9194,20.282628088,0.009805788000001314,3222586.4968726393,7500876.0132271005
"::1",55940,"::1",4433,36,13128,20,3950,16,9178,20.297783597,0.010749284000002746,2939730.6834568637,6830594.484244834
"::1",55942,"::1",4433,36,13162,20,3950,16,9212,20.314514416,0.014280954000000179,2212737.328332519,5160439.561670675
"::1",55944,"::1",4433,36,13154,20,3950,16,9204,20.334774406,0.014272872999999464,2213990.133591267,5158877.263183297
"::1",55946,"::1",4433,36,13114,20,3950,16,9164,20.355975267,0.012425857000000207,2543084.151056903,5899955.230452015
"::1",55948,"::1",4433,36,13150,20,3950,16,9200,20.375411382,0.011994677000000564,2634501.954491856,6136055.185145589
"::1",55950,"::1",4433,36,13184,20,3950,16,9234,20.395062145,0.015911016000000444,1986045.3914444633,4642821.04926536
"::1",55952,"::1",4433,36,13154,20,3950,16,9204,20.41860248,0.013171915000000922,2399043.7229512786,5590075.550897106
"::1",55954,"::1",4433,36,13146,20,3950,16,9196,20.437853743,0.01111029499999816,2844208.9071447006,6621606.356988017
"::1",55956,"::1",4433,36,13124,20,3950,16,9174,20.454725382,0.015265170999999356,2070071.7993923116,4807807.26268989
"::1",55958,"::1",4433,36,13124,20,3950,16,9174,20.477689468,0.014248400999999689,2217792.7193374676,5150893.773975171
"::1",55960,"::1",4433,36,13154,20,3950,16,9204,20.498102552,0.011963206000000781,2641432.405326627,6154871.862943361
"::1",55962,"::1",4433,36,13128,20,3950,16,9178,20.517108856,0.01030152299999898,3067507.5908681783,7127489.789617251
"::1",55964,"::1",4433,36,13152,20,3950,16,9202,20.532971636,0.01419203200000041,2226601.5183730624,5187135.99292884
"::1",55966,"::1",4433,36,13192,20,3950,16,9242,20.551322978,0.011569350999998562,2731354.593702268,6390678.267087686
"::1",55968,"::1",4433,36,13154,20,3950,16,9204,20.567456571,0.012576010000000082,2512720.648281911,5854957.176401698
"::1",55970,"::1",4433,36,13124,20,3950,16,9174,20.584878583,0.01168901300000158,2703393.3489504824,6278716.603359931
"::1",55972,"::1",4433,36,13156,20,3950,16,9206,20.602309675,0.010394681999997601,3040016.038971398,7085161.431587517
"::1",55974,"::1",4433,36,13122,20,3950,16,9172,20.618305102,0.013929742999998496,2268527.1365023325,5267577.442025163
"::1",55976,"::1",4433,36,13156,20,3950,16,9206,20.639518817,0.011759917000002673,2687093.7949640984,6262629.234541643
"::1",55978,"::1",4433,36,13154,20,3950,16,9204,20.657715392,0.011375082000000702,2778001.951985757,6473096.193943521
"::1",55980,"::1",4433,36,13146,20,3950,16,9196,20.675941426,0.011908550999997658,2653555.4157685693,6177745.722381713
"::1",55982,"::1",4433,36,13164,20,3950,16,9214,20.693020668,0.014164660000002272,2230904.2363173515,5203937.122386854
"::1",55984,"::1",4433,36,13180,20,3950,16,9230,20.713238893,0.013050553999999437,2421353.1471538576,5657997.353982305
