"Address A","Port A","Address B","Port B","Packets","Bytes","Packets A → B","Bytes A → B","Packets B → A","Bytes B → A","Rel Start","Duration","Bits/s A → B","Bits/s B → A"
"192.168.1.104",42812,"13.65.102.222",8883,30,9159,16,2167,14,6992,45033.30454561,14.97001119700144,1158.0485660206105,3736.5369513687624
"192.168.1.104",42834,"13.65.102.222",8883,28,9023,15,2128,13,6895,45088.459711331,14.970568789998651,1137.1645418959083,3684.5627426561505
"192.168.1.104",42836,"13.65.102.222",8883,29,9087,16,2194,13,6893,45133.542237723,14.972658541002602,1172.2701050006501,3682.979869539417
"192.168.1.104",42838,"13.65.102.222",8883,28,9020,15,2128,13,6892,45178.62479942,14.973055139998905,1136.975710088866,3682.348023464504
"192.168.1.104",42840,"13.65.102.222",8883,28,9023,15,2128,13,6895,45223.708061074,14.971095401000639,1137.1245419264478,3684.4331374919443
"192.168.1.104",42842,"13.65.102.222",8883,28,9018,15,2128,13,6890,45268.791567881,14.973908896994544,1136.9108839320463,3681.069544310056
"192.168.1.104",42844,"13.65.102.222",8883,29,9087,16,2194,13,6893,45313.875696111,14.970499137001752,1172.439197876689,3683.511117121248
"192.168.1.104",42846,"13.65.102.222",8883,28,9021,15,2128,13,6893,45358.926312208,14.97549502000038,1136.790468512978,3682.282283580807
"192.168.1.104",42848,"13.65.102.222",8883,28,9021,15,2128,13,6893,45404.015015103,14.969409281999106,1137.2526249563878,3683.7792969099537
"192.168.1.104",42850,"13.65.102.222",8883,28,9018,15,2128,13,6890,45449.073594537,14.97354869099945,1136.9382336354954,3681.158096686355
"192.168.1.104",42852,"13.65.102.222",8883,28,9015,15,2128,13,6887,45494.141165563,14.982162630003586,1136.2845552021568,3677.439723532544
"192.168.1.104",42854,"13.65.102.222",8883,29,9086,16,2194,13,6892,45539.22105395,14.981176554996637,1171.6035743631846,3680.351793304954
"192.168.1.104",42856,"13.65.102.222",8883,28,9019,15,2128,13,6891,45584.313599253,14.968934887001524,1137.2886667295893,3682.8271627977447
"192.168.1.104",42858,"13.65.102.222",8883,29,9086,16,2194,13,6892,45629.394184933,14.968529719997605,1172.593456293235,3683.461303907464
"192.168.1.104",42860,"13.65.102.222",8883,28,9024,15,2128,13,6896,45674.450342101,14.971980622001865,1137.05730923687,3684.7496261736164
"192.168.1.104",42862,"13.65.102.222",8883,27,8954,15,2128,12,6826,45719.521340117,14.971888995001791,1137.0642679546506,3647.368746737991
"192.168.1.104",42864,"13.65.102.222",8883,28,9019,15,2128,13,6891,45764.603780759,14.967643014002533,1137.386827309664,3683.145031480684
"192.168.1.104",42866,"13.65.102.222",8883,28,9021,15,2128,13,6893,45809.683646197,14.972764564998215,1136.9977752670306,3682.953789903967
"192.168.1.104",42868,"13.65.102.222",8883,28,9023,15,2128,13,6895,45854.766419847,14.965181384999596,1137.573916548988,3685.8891703972145
"192.168.1.104",42870,"13.65.102.222",8883,28,9022,15,2128,13,6894,45899.843667401,14.969614481000463,1137.2370358372941,3684.263216664617
"192.168.1.104",42872,"13.65.102.222",8883,28,9020,15,2128,13,6892,45944.923864729,14.968207653000718,1137.3439221754218,3683.5405599779165
"192.168.1.104",42874,"13.65.102.222",8883,28,9022,15,2128,13,6894,45989.983538471,14.97291592599504,1136.9862813724878,3683.4508570403814
"192.168.1.104",42876,"13.65.102.222",8883,28,9021,15,2128,13,6893,46035.063847016,14.97196695599996,1137.0583471116797,3683.149993722184
"192.168.1.104",42878,"13.65.102.222",8883,28,9019,15,2128,13,6891,46080.139255597,14.972834460997547,1136.9924675481784,3681.867995241775
"192.168.1.104",42880,"13.65.102.222",8883,28,9019,15,2128,13,6891,46125.222105964,14.972323374997359,1137.0312792220868,3681.9936772177634
"192.168.1.104",42882,"13.65.102.222",8883,28,9018,15,2128,13,6890,46170.277054506,14.967697776999557,1137.3826659007175,3682.5970714548607
"192.168.1.104",42884,"13.65.102.222",8883,28,9021,15,2128,13,6893,46215.353605795,14.971331665001344,1137.1065968565242,3683.306283896627
"192.168.1.104",42886,"13.65.102.222",8883,28,9021,15,2128,13,6893,46260.437021201,14.971380762995977,1137.1028677647007,3683.2942046532344
"192.168.1.104",42888,"13.65.102.222",8883,29,9086,16,2194,13,6892,46305.520252912,14.961318335001124,1173.158648655856,3685.2367395333454
"192.168.1.104",42890,"13.65.102.222",8883,28,9015,15,2128,13,6887,46350.593852821,14.965070102000027,1137.5823757567834,3681.6399538707556
"192.168.1.104",42892,"13.65.102.222",8883,28,9019,15,2128,13,6891,46395.669692382,14.96662185400055,1137.4644302548152,3683.3963293636893
"192.168.1.104",42894,"13.65.102.222",8883,29,9087,16,2194,13,6893,46440.733456999,14.972479351999937,1172.2841346016287,3683.023947041489
"192.168.1.104",42896,"13.65.102.222",8883,28,9018,15,2128,13,6890,46485.816565923,14.974296125001274,1136.8814839701556,3680.974353643972
"192.168.1.104",42898,"13.65.102.222",8883,28,9018,15,2128,13,6890,46530.893717201,14.976729817004525,1136.6967427476065,3680.3762018472785
"192.168.1.104",42900,"13.65.102.222",8883,28,9020,15,2128,13,6892,46575.982240818,14.972958780999761,1136.9830271357555,3682.3717213438094
"192.168.1.104",42902,"13.65.102.222",8883,28,9020,15,2128,13,6892,46621.059646539,14.974371234005957,1136.8757815579895,3682.024382752662
