"Address A","Port A","Address B","Port B","Packets","Bytes","Packets A → B","Bytes A → B","Packets B → A","Bytes B → A","Rel Start","Duration","Bits/s A → B","Bits/s B → A"
"::1",50090,"::1",4433,18,7445,10,2441,8,5004,0,0.070681995,276279.6947086737,566367.7150029509
"::1",50092,"::1",4433,18,7447,10,2441,8,5006,0.078284795,0.029087280999999993,671358.7289234771,1376821.7111802239
"::1",50094,"::1",4433,18,7447,10,2441,8,5006,0.112048624,0.02547282499999999,766620.8989383788,1572185.2601743236
"::1",50096,"::1",4433,18,7447,10,2441,8,5006,0.144091362,0.02910396600000001,670973.8459699957,1376032.3936607123
"::1",50098,"::1",4433,18,7458,10,2441,8,5017,0.18047434,0.02923393399999999,667990.835581691,1372925.0397842457
"::1",50100,"::1",4433,18,7446,10,2441,8,5005,0.216061407,0.030697645999999995,636139.9828508024,1304334.540830916
"::1",50102,"::1",4433,18,7446,10,2441,8,5005,0.253554902,0.027889693999999965,700186.957949414,1435655.7658897245
"::1",50104,"::1",4433,18,7430,10,2441,8,4989,0.286808963,0.028233071000000054,691671.1256809421,1413661.3052118886
"::1",50106,"::1",4433,18,7426,10,2441,8,4985,0.320273429,0.030827453999999976,633461.3296316982,1293652.0803826365
"::1",50108,"::1",4433,18,7430,10,2441,8,4989,0.357137732,0.029997400000000007,650989.7524452118,1330515.3113269813
"::1",50110,"::1",4433,18,7462,10,2441,8,5021,0.39436924,0.030560283999999993,638999.2972578398,1314385.6909183178
"::1",50112,"::1",4433,18,7446,10,2441,8,5005,0.430516855,0.02841943600000002,687135.3815747781,1408894.9548470974
"::1",50114,"::1",4433,18,7444,10,2441,8,5003,0.464507688,0.02966588800000003,658264.4686044786,1349159.0071397815
"::1",50116,"::1",4433,18,7462,10,2441,8,5021,0.501330345,0.031393955000000084,622030.5788168438,1279481.989446691
"::1",50118,"::1",4433,18,7431,10,2441,8,4990,0.539186765,0.030392519000000062,642526.5375337912,1313481.1234304046
"::1",50120,"::1",4433,18,7428,10,2441,8,4987,0.575461293,0.028665861999999986,681228.4242490252,1391759.9966119986
"::1",50122,"::1",4433,18,7447,10,2441,8,5006,0.610231124,0.03035212300000001,643381.6837128657,1319446.4189539554
"::1",50124,"::1",4433,18,7461,10,2441,8,5020,0.646350298,0.027281027000000013,715808.8293376928,1472085.3434146736
"::1",50126,"::1",4433,18,7461,10,2441,8,5020,0.67833167,0.02812811999999998,694251.8732144209,1427752.7257420698
"::1",50128,"::1",4433,18,7446,10,2441,8,5005,0.711750577,0.031012554000000025,629680.483587388,1291090.0534022436
