"Address A","Port A","Address B","Port B","Packets","Bytes","Packets A → B","Bytes A → B","Packets B → A","Bytes B → A","Rel Start","Duration","Bits/s A → B","Bits/s B → A"
"192.168.1.104",44862,"13.65.102.222",8883,28,7752,15,1494,13,6258,90184.278536556,14.967120772998896,798.55038128387,3344.931918389865
"192.168.1.104",44864,"13.65.102.222",8883,28,7753,15,1494,13,6259,90229.354424568,14.97575764200883,798.0898386384927,3343.5370147512217
"192.168.1.104",44866,"13.65.102.222",8883,28,7748,15,1494,13,6254,90274.437789654,15.001755083008902,796.706780897718,3335.0764442666186
"192.168.1.104",44868,"13.65.102.222",8883,28,7755,15,1494,13,6261,90319.543592307,14.970733569993172,798.3576719283938,3345.7278339649756
"192.168.1.104",44870,"13.65.102.222",8883,28,7751,15,1494,13,6257,90364.625584177,15.001425448994269,796.724287344393,3336.7495755782243
"192.168.1.104",44872,"13.65.102.222",8883,28,7753,15,1494,13,6259,90409.733965164,14.987867967996863,797.4449751973224,3340.835408139251
"192.168.1.104",44874,"13.65.102.222",8883,28,7757,15,1494,13,6263,90454.831880352,14.99800660701294,796.9059031092403,3340.7106232752158
"192.168.1.104",44876,"13.65.102.222",8883,28,7751,15,1494,13,6257,90499.941456382,14.974046709001414,798.181028299801,3342.8505315072657
"192.168.1.104",44878,"13.65.102.222",8883,28,7755,15,1494,13,6261,90545.021835856,15.002497718000086,796.6673433091024,3338.644067241158
"192.168.1.104",44880,"13.65.102.222",8883,28,7755,15,1494,13,6261,90590.133858591,15.00424337000004,796.5746559334813,3338.255636411999
"192.168.1.104",44882,"13.65.102.222",8883,28,7754,15,1494,13,6260,90635.233596156,15.001342130999546,796.7287123797925,3338.367964857765
"192.168.1.104",44884,"13.65.102.222",8883,28,7752,15,1494,13,6258,90680.331623701,14.981805531002465,797.767663935247,3341.6533071665167
"192.168.1.104",44886,"13.65.102.222",8883,28,7753,15,1494,13,6259,90725.400628643,15.011537181999302,796.1876159046478,3335.567796484064
"192.168.1.104",44888,"13.65.102.222",8883,28,7751,15,1494,13,6257,90770.520335897,15.00279471099202,796.6515726062152,3336.4450400248247
"192.168.1.104",44890,"13.65.102.222",8883,26,7625,14,1428,12,6197,90815.630912148,14.999241326993797,761.6385223058238,3305.2338394462117
"192.168.1.104",44892,"13.65.102.222",8883,28,7751,15,1494,13,6257,90860.720254203,14.974003338007606,798.1833401668184,3342.8602138044066
"192.168.1.104",44894,"13.65.102.222",8883,28,7756,15,1494,13,6262,90905.803769483,15.002516127002309,796.6663657496871,3339.173214407323
"192.168.1.104",44896,"13.65.102.222",8883,28,7753,15,1494,13,6259,90950.914925384,14.99565102699853,797.0310844445054,3339.101444135314
"192.168.1.104",44898,"13.65.102.222",8883,28,7753,15,1494,13,6259,90996.02215787,14.970610360993305,798.3642424587812,3344.6866088015468
"192.168.1.104",44900,"13.65.102.222",8883,28,7755,15,1494,13,6261,91041.083380361,14.976168608001899,798.067937991426,3344.51362768696
"192.168.1.104",44902,"13.65.102.222",8883,28,7756,15,1494,13,6262,91086.165806205,15.000900447004824,796.7521711262615,3339.5328618424696
"192.168.1.104",44904,"13.65.102.222",8883,28,7755,15,1494,13,6261,91131.25066943,15.001529337008833,796.7187698999707,3338.85958389807
"192.168.1.104",44906,"13.65.102.222",8883,28,7750,15,1494,13,6256,91176.342870965,14.971091532992432,798.3385829724485,3342.976020800293
"192.168.1.104",44908,"13.65.102.222",8883,26,7622,14,1428,12,6194,91221.42654891,14.999007956997957,761.6503726614801,3303.6851598495855
"192.168.1.104",44910,"13.65.102.222",8883,28,7756,15,1494,13,6262,91266.51348655,15.001293242006795,796.7313089068795,3339.4454192602943
"192.168.1.104",44912,"13.65.102.222",8883,26,7624,14,1428,12,6196,91311.62342056,14.99682691199996,761.7611423426442,3305.2325195763474
"192.168.1.104",44914,"13.65.102.222",8883,28,7755,15,1494,13,6261,91356.732249679,14.970156420997228,798.3884512546613,3345.8568228282693
"192.168.1.104",44916,"13.65.102.222",8883,28,7756,15,1494,13,6262,91401.810184773,15.001419402993633,796.7246084470446,3339.4173347358724
"192.168.1.104",44918,"13.65.102.222",8883,28,7755,15,1494,13,6261,91446.923368615,15.00115848200221,796.7384661884302,3338.9421263760114
"192.168.1.104",44920,"13.65.102.222",8883,28,7752,15,1494,13,6258,91492.032776156,14.988108121993719,797.4321977609369,3340.248121544808
"192.168.1.104",44922,"13.65.102.222",8883,28,7753,15,1494,13,6259,91537.118423307,14.976411824012757,798.0549774169871,3343.3909663004833
"192.168.1.104",44924,"13.65.102.222",8883,28,7754,15,1494,13,6260,91582.205043493,14.994492903002538,797.0926444339241,3339.892874267982
"192.168.1.104",44926,"13.65.102.222",8883,28,7749,15,1494,13,6255,91627.311104709,14.998895843993523,796.8586570848355,3336.245582373257
"192.168.1.104",44928,"13.65.102.222",8883,28,7750,15,1494,13,6256,91672.421496301,15.001992170000449,796.6941899823457,3336.090262737319
"192.168.1.104",44930,"13.65.102.222",8883,28,7750,15,1494,13,6256,91717.520078898,14.973595980001846,798.2050548153314,3342.4168828143997
"192.168.1.104",44932,"13.65.102.222",8883,28,7752,15,1494,13,6258,91762.605175487,14.990216948994203,797.320014824865,3339.7782147081693
"192.168.1.104",44934,"13.65.102.222",8883,28,7754,15,1494,13,6260,91807.70251038,15.003259724006057,796.6268810821244,3337.9412821781116
"192.168.1.104",44936,"13.65.102.222",8883,28,7751,15,1494,13,6257,91852.810844748,14.961512063993723,798.8497385076208,3345.6511471500557
