"Address A","Port A","Address B","Port B","Packets","Bytes","Packets A → B","Bytes A → B","Packets B → A","Bytes B → A","Rel Start","Duration","Bits/s A → B","Bits/s B → A"
"192.168.1.104",46882,"13.65.102.222",8883,28,7688,15,1461,13,6227,135288.812060628,14.961680034990422,781.1956927741826,3329.572607053275
"192.168.1.104",46884,"13.65.102.222",8883,28,7693,15,1461,13,6232,135333.88552991,15.001978050975595,779.0972603935996,3323.295090193644
"192.168.1.104",46886,"13.65.102.222",8883,28,7685,15,1461,13,6224,135378.997654423,14.998590097005945,779.2732466455756,3319.778704395662
"192.168.1.104",46888,"13.65.102.222",8883,28,7687,15,1461,13,6226,135424.103993269,14.968000163993565,780.8658385851835,3327.632245743568
"192.168.1.104",46890,"13.65.102.222",8883,28,7687,15,1461,13,6226,135469.168370202,14.97505108799669,780.4981720141551,3326.0654476113136
"192.168.1.104",46892,"13.65.102.222",8883,28,7685,15,1461,13,6224,135514.254926349,14.9978365629795,779.3123995530485,3319.9454995333153
"192.168.1.104",46894,"13.65.102.222",8883,28,7686,15,1461,13,6225,135559.364535048,15.00017018901417,779.191159348316,3319.9623319255766
"192.168.1.104",46896,"13.65.102.222",8883,28,7688,15,1461,13,6227,135604.474110425,14.972930390998954,780.6087181856061,3327.0708337726005
"192.168.1.104",46898,"13.65.102.222",8883,28,7684,15,1461,13,6223,135649.543598766,14.982358909997856,780.1174748390588,3322.8412360872435
"192.168.1.104",46900,"13.65.102.222",8883,28,7684,15,1461,13,6223,135694.637017152,15.001199980993988,779.1376699736221,3318.6678441107806
"192.168.1.104",46902,"13.65.102.222",8883,28,7685,15,1461,13,6224,135739.744394659,14.986597648006864,779.8968301223754,3322.4352297615774
"192.168.1.104",46904,"13.65.102.222",8883,28,7684,15,1461,13,6223,135784.843112401,14.973475508013507,780.5802997269949,3324.8125976735723
"192.168.1.104",46906,"13.65.102.222",8883,28,7687,15,1461,13,6226,135829.926425173,14.96671807099483,780.932729844834,3327.917300488663
"192.168.1.104",46908,"13.65.102.222",8883,28,7685,15,1461,13,6224,135875.004776792,15.001066423021257,779.1446068169602,3319.2306863988774
"192.168.1.104",46910,"13.65.102.222",8883,28,7686,15,1461,13,6225,135920.116911648,14.9700529690017,780.758760453433,3326.6415358128816
"192.168.1.104",46912,"13.65.102.222",8883,28,7687,15,1461,13,6226,135965.195376548,14.967840680998052,780.8741587447633,3327.6677018103333
"192.168.1.104",46914,"13.65.102.222",8883,28,7688,15,1461,13,6227,136010.275698297,15.006472881999798,778.8639003919241,3319.6341599866605
"192.168.1.104",46916,"13.65.102.222",8883,28,7688,15,1461,13,6227,136055.388045039,15.001147667993791,779.140387034342,3320.8125873120107
"192.168.1.104",46918,"13.65.102.222",8883,27,7618,15,1461,12,6157,136100.500551578,14.962063451006543,781.1756739484829,3292.0592912394313
"192.168.1.104",46920,"13.65.102.222",8883,28,7690,15,1461,13,6229,136145.573534843,14.996856390003813,779.3633342912226,3322.829712046561
"192.168.1.104",46922,"13.65.102.222",8883,28,7687,15,1461,13,6226,136190.682415679,15.001988615986193,779.0967117216187,3320.0931739759053
"192.168.1.104",46924,"13.65.102.222",8883,28,7685,15,1461,13,6224,136235.794323773,14.997714077995624,779.3187641274228,3319.972613230034
"192.168.1.104",46926,"13.65.102.222",8883,28,7688,15,1461,13,6227,136280.892447177,14.979629136010772,780.2596375301607,3325.5829999317666
"192.168.1.104",46928,"13.65.102.222",8883,28,7684,15,1461,13,6223,136325.971295703,15.00925598401227,778.7194789968241,3316.8865967126876
"192.168.1.104",46930,"13.65.102.222",8883,28,7684,15,1461,13,6223,136371.091591056,14.997973427001853,779.3052879369232,3319.3817979681535
"192.168.1.104",46932,"13.65.102.222",8883,26,7554,14,1395,12,6159,136416.187840988,15.002205083001172,743.890643959085,3284.317187200003
"192.168.1.104",46934,"13.65.102.222",8883,28,7688,15,1461,13,6227,136461.284152784,14.981768525001826,780.1482168473549,3325.108108356248
"192.168.1.104",46936,"13.65.102.222",8883,28,7686,15,1461,13,6225,136506.348950663,15.001988628006075,779.0967110973914,3319.5599086798507
"192.168.1.104",46938,"13.65.102.222",8883,28,7688,15,1461,13,6227,136551.460915007,14.996153217012761,779.3998788129383,3321.9185799919005
"192.168.1.104",46940,"13.65.102.222",8883,28,7685,15,1461,13,6224,136596.559462228,14.99371848499868,779.5264404686486,3320.857334344195
"192.168.1.104",46942,"13.65.102.222",8883,28,7686,15,1461,13,6225,136641.652160151,14.983162179007195,780.0756516121794,3323.7309591278695
"192.168.1.104",46944,"13.65.102.222",8883,28,7688,15,1461,13,6227,136686.744999249,14.998727292986587,779.2661184969551,3321.3484735664197
"192.168.1.104",46946,"13.65.102.222",8883,28,7682,15,1461,13,6221,136731.853840305,14.995657368999673,779.4256505328302,3318.827496211319
"192.168.1.104",46948,"13.65.102.222",8883,28,7686,15,1461,13,6225,136776.961169626,14.961900626978604,781.1841751525031,3328.454134376682
"192.168.1.104",46950,"13.65.102.222",8883,28,7688,15,1461,13,6227,136822.034314504,14.968036437989213,780.8639462111138,3328.15865370062
"192.168.1.104",46952,"13.65.102.222",8883,28,7684,15,1461,13,6223,136867.113922363,14.998008397000376,779.3034708753476,3319.374058355433
"192.168.1.104",46954,"13.65.102.222",8883,28,7684,15,1461,13,6223,136912.222080736,15.000407889980124,779.1788120513226,3318.8430851439975
"192.168.1.104",46956,"13.65.102.222",8883,28,7688,15,1461,13,6227,136957.332415867,14.970432175003225,780.738983575635,3327.6260443021756
